whisky galore!,compton mackenzie,farce
the house of thunder,dean koontz,speculative fiction
strangers,dean koontz,speculative fiction
the servants of twilight,dean koontz,speculative fiction
the bad place,dean koontz,speculative fiction
false memory,dean koontz,speculative fiction
one door away from heaven,dean koontz,speculative fiction
brother odd,dean koontz,speculative fiction
voyage of the shadowmoon,sean mcmullen,speculative fiction
mistress of spices,chitra banerjee divakaruni,speculative fiction
solomon's stone,l. sprague de camp,speculative fiction
changeling,roger zelazny,speculative fiction
madwand,roger zelazny,speculative fiction
the dragon society,lawrence watt-evans,speculative fiction
the hundred dresses,eleanor estes,speculative fiction
archer's goon,diana wynne jones,speculative fiction
tetrarch,ian irvine,speculative fiction
a cavern of black ice,julie victoria jones,speculative fiction
spellsinger,alan dean foster,speculative fiction
the hour of the gate,alan dean foster,speculative fiction
the paths of the perambulator,alan dean foster,speculative fiction
the time of the transference,alan dean foster,speculative fiction
chorus skating,alan dean foster,speculative fiction
battledragon,christopher rowley,speculative fiction
the dragon token,melanie rawn,speculative fiction
dragon ultimate,christopher rowley,speculative fiction
a dragon at worlds' end,christopher rowley,speculative fiction
a great and terrible beauty,libba bray,speculative fiction
owlflight,larry dixon,speculative fiction
a fortress of grey ice,julie victoria jones,speculative fiction
athyra,steven brust,speculative fiction
snakecharm,amelia atwater-rhodes,speculative fiction
falcondance,amelia atwater-rhodes,speculative fiction
a fine dark line,joe r. lansdale,speculative fiction
the winter king,bernard cornwell,speculative fiction
enemy of god,bernard cornwell,speculative fiction
created by,richard christian matheson,speculative fiction
excalibur: a novel of arthur,bernard cornwell,speculative fiction
eight days of luke,diana wynne jones,speculative fiction
specimen days,michael cunningham,speculative fiction
the torments of the traitor,ian irvine,speculative fiction
ancestors of avalon,marion zimmer bradley,speculative fiction
last orders,brian aldiss,speculative fiction
the hawk eternal,david gemmell,speculative fiction
weir of hermiston,robert louis stevenson,speculative fiction
drift house: the first voyage,dale peck,speculative fiction
absolute zero,helen cresswell,speculative fiction
the regime,tim lahaye,speculative fiction
exquisite corpse,poppy z. brite,speculative fiction
the secret world of og,pierre berton,speculative fiction
the charnel prince,gregory keyes,speculative fiction
dragon's claw,peter o'donnell,speculative fiction
echoes of the great song,david gemmell,speculative fiction
the lioness,nancy varian berberick,speculative fiction
dark thane,miller lau,speculative fiction
vampirates: demons of the ocean,justin somper,speculative fiction
memoirs of a survivor,doris lessing,speculative fiction
stalking the unicorn,mike resnick,speculative fiction
the last unicorn,peter s. beagle,speculative fiction
gregor and the curse of the warmbloods,suzanne collins,speculative fiction
gregor and the marks of secret,suzanne collins,speculative fiction
the howling,gary brandner,speculative fiction
the parched sea,troy denning,speculative fiction
blades of the tiger,chris pierson,speculative fiction
dime store magic,kelley armstrong,speculative fiction
haunted,kelley armstrong,speculative fiction
conrad's fate,diana wynne jones,speculative fiction
shadow games,glen cook,speculative fiction
water sleeps,glen cook,speculative fiction
faery in shadow,c. j. cherryh,speculative fiction
trail of the black wyrm,chris pierson,speculative fiction
the paladin,c. j. cherryh,speculative fiction
the curse of the gloamglozer,chris riddell,speculative fiction
alanna: the first adventure,tamora pierce,speculative fiction
shadows on the stars,t. a. barron,speculative fiction
devlin's luck,patricia bray,speculative fiction
the waterless sea,kate constable,speculative fiction
the ruins of gorlan,john flanagan,speculative fiction
the burning bridge,john flanagan,speculative fiction
the tenth power,kate constable,speculative fiction
the assassin king,elizabeth haydon,speculative fiction
the sum of all men,dave wolverton,speculative fiction
brotherhood of the wolf,dave wolverton,speculative fiction
the conqueror worms,brian keene,speculative fiction
wizardborn,dave wolverton,speculative fiction
the lair of bones,dave wolverton,speculative fiction
fool on the hill,matt ruff,speculative fiction
monster planet,david wellington,speculative fiction
voices from the street,philip k. dick,speculative fiction
the well at the world's end,william morris,speculative fiction
the blue djinn of babylon,philip kerr,speculative fiction
an old captivity,nevil shute,speculative fiction
skybreaker,kenneth oppel,speculative fiction
dragon venom,lawrence watt-evans,speculative fiction
wizard of the pigeons,robin hobb,speculative fiction
green rider,kristen britain,speculative fiction
sandry's book,tamora pierce,speculative fiction
tris's book,tamora pierce,speculative fiction
david and the phoenix,edward ormondroyd,speculative fiction
jim button and luke the engine driver,michael ende,speculative fiction
magic's pawn,mercedes lackey,speculative fiction
magic's promise,mercedes lackey,speculative fiction
magic's price,mercedes lackey,speculative fiction
first rider's call,kristen britain,speculative fiction
forest mage,robin hobb,speculative fiction
the spook's curse,joseph delaney,speculative fiction
the spook's secret,joseph delaney,speculative fiction
gallows hill,lois duncan,speculative fiction
the keep,f. paul wilson,speculative fiction
the silver wolf,alice borchardt,speculative fiction
the inheritance,nancy varian berberick,speculative fiction
against the day,thomas pynchon,speculative fiction
molly moon's hypnotic time-travel adventure,georgia byng,speculative fiction
the monastery,walter scott,speculative fiction
molly moon stops the world,georgia byng,speculative fiction
fury,c. l. moore,speculative fiction
winkie,clifford chase,speculative fiction
the goblin mirror,c. j. cherryh,speculative fiction
the face in the frost,john bellairs,speculative fiction
divine hammer,chris pierson,speculative fiction
the dargonesti,paul b. thompson,speculative fiction
the lies of locke lamora,scott lynch,speculative fiction
a flame in hali,deborah j. ross,speculative fiction
darkness and light,paul b. thompson,speculative fiction
after dark,haruki murakami,speculative fiction
the honorable barbarian,l. sprague de camp,speculative fiction
the goblin tower,l. sprague de camp,speculative fiction
the clocks of iraz,l. sprague de camp,speculative fiction
kaleidoscope,harry turtledove,speculative fiction
chosen of the gods,chris pierson,speculative fiction
bard: the odyssey of the irish,morgan llywelyn,speculative fiction
land of unreason,fletcher pratt,speculative fiction
kingdom come,jerry b. jenkins,speculative fiction
the carnelian cube,fletcher pratt,speculative fiction
brothers majere,kevin t. stein,speculative fiction
reading in the dark,seamus deane,speculative fiction
the jewel in the skull,michael moorcock,speculative fiction
the will of the empress,tamora pierce,speculative fiction
briar's book,tamora pierce,speculative fiction
riverwind the plainsman,paul b. thompson,speculative fiction
shock wave,tony abbott,speculative fiction
was,geoff ryman,speculative fiction
the outstretched shadow,mercedes lackey,speculative fiction
anne frank and me,jeff gottesfeld,speculative fiction
the mad god's amulet,michael moorcock,speculative fiction
peter and the shadow thieves,ridley pearson,speculative fiction
the menacers,donald hamilton,speculative fiction
the annihilators,donald hamilton,speculative fiction
the frighteners,donald hamilton,speculative fiction
c„©sar cascabel,jules verne,speculative fiction
the broken commandment,vincent mcdonnell,speculative fiction
reaper's gale,steven erikson,speculative fiction
the captain's daughter,peter david,speculative fiction
jubilee,jack dann,speculative fiction
sorcerer's son,phyllis eisenstein,speculative fiction
the crystal palace,phyllis eisenstein,speculative fiction
strands of starlight,gael baudino,speculative fiction
maze of moonlight,gael baudino,speculative fiction
strands of sunlight,gael baudino,speculative fiction
the sword of the dawn,michael moorcock,speculative fiction
elegy for a lost star,elizabeth haydon,speculative fiction
magic kingdom for sale -- sold!,terry brooks,speculative fiction
touch not the cat,mary stewart,speculative fiction
prisoner of time,caroline b. cooney,speculative fiction
for all time,caroline b. cooney,speculative fiction
imperium: a novel of ancient rome,robert harris,speculative fiction
squire by tamora pierce,tamora pierce,speculative fiction
vampirates: tide of terror,justin somper,speculative fiction
the incorporated knight,catherine crook de camp,speculative fiction
the pixilated peeress,catherine crook de camp,speculative fiction
hadon of ancient opar,philip jos„© farmer,speculative fiction
the sea devil's eye,mel odom,speculative fiction
the bone doll's twin,lynn flewelling,speculative fiction
the goblin wood,hilari bell,speculative fiction
forging the sword,hilari bell,speculative fiction
duma key,stephen king,speculative fiction
the white people,arthur machen,speculative fiction
the changeling,zilpha keatley snyder,speculative fiction
the reluctant king,l. sprague de camp,speculative fiction
flight to opar,philip jos„© farmer,speculative fiction
the brothers' war,jeff grubb,speculative fiction
oracle's queen,lynn flewelling,speculative fiction
daja's book,tamora pierce,speculative fiction
wizards at war,diane duane,speculative fiction
green thumb,rob thomas,speculative fiction
the forests of silence,jennifer rowe,speculative fiction
the lake of tears,jennifer rowe,speculative fiction
the fallible fiend,l. sprague de camp,speculative fiction
